Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;417;0.5;100;1825;8395;PalmTree;0.6;0.0001;Juvenile;105;52;1;ff71bfab-e341-4e2a-999d-18fd31423e6f
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5445;1;100;2920;13505;NutmegTree;1.3;0.0002;Juvenile;5145;74;7;8ca982f2-e18a-45ae-a6ff-3af8727d5d2e
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3235;1;100;2920;21535;NutmegTree;1.3;0.0002;Juvenile;9978;5;7;f90c4c43-8fe6-4178-879a-97c2ac94edc7
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2229;0.1;100;3650;114245;BrazilNutTree;1;0.0003;Juvenile;16360;70;4;e3edf481-6620-44f8-9882-6a67ee6562a5
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1010;0.1;100;3650;105485;BrazilNutTree;1;0.0003;Juvenile;18791;17;5;32d66876-7e41-4cc3-8ef7-12ff1bcc7189
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1926;0.1;100;3650;124100;BrazilNutTree;1;0.0003;Juvenile;17294;18;6;779eafd5-8656-468f-9a81-b1bb32b8350d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1122;0.1;100;3650;170455;BrazilNutTree;1;0.0003;Juvenile;1054;15;6;62c5a055-1436-47de-b864-43f3c4585c15
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;727;0.5;100;1825;8760;PalmTree;0.6;0.0001;Juvenile;804;79;1;746fe88a-0bc6-481c-9598-f4f29d60172f
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;2624;1;100;2920;13140;NutmegTree;1.3;0.0002;Juvenile;1926;79;7;8dbb6819-24a4-409b-9208-329b817492e8
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3835;0.1;100;3650;121910;BrazilNutTree;1;0.0003;Juvenile;5714;5;5;7a205a55-fa9e-4938-bf83-9419ed3a5e4a
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;2355;1;100;2920;21535;NutmegTree;1.3;0.0002;Juvenile;1139;13;10;42db0254-9efe-4525-9a1d-a61b5fd63b21
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1747;1;100;2920;17885;NutmegTree;1.3;0.0002;Juvenile;3602;54;8;574a395a-8230-48db-b75e-205b0b5fc188
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;72;1;100;2920;20075;NutmegTree;1.3;0.0002;Juvenile;1749;43;8;5873f334-54f7-4599-92af-9c57119931ef
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3915;1;100;2920;18615;NutmegTree;1.3;0.0002;Juvenile;8250;12;10;0d60a45c-3f14-4daf-a966-f89610bf95dd
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2346;0.1;100;3650;155855;BrazilNutTree;1;0.0003;Juvenile;10811;45;5;afe5bf90-0040-4243-9deb-6812096536d0
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;2364;1;100;2920;20440;NutmegTree;1.3;0.0002;Juvenile;5547;90;7;35de1ff9-6e49-435b-8960-4db499853343
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;463;0.5;100;1825;9855;PalmTree;0.6;0.0001;Juvenile;542;7;2;f7157d15-c662-4c61-b43b-c2e2d609d13d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;6475;1;100;2920;12410;NutmegTree;1.3;0.0002;Juvenile;1079;91;7;245565d5-49ff-4d56-9a2a-fe0a7ae2b894
